country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population)
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,28.8,2.9,9,3.8,4.3,39.1,107.9,78.7,617,36.8,1432,102,-99,-99,183.65,87.87,68.72,76.65,54.98,8.26,32.63,37.46,88.04,4.38,5.23,22.81,19.13,52.02,1.92,54.98,18.83,37.65,44.68,53.68,87.87,100
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,44.2,8.2,3.5, ,2.2,5.8,112.8,30,587,33.1,179,20,0.53,-99,88.99,30.28,65.43,80.04,33.47,17.49,47.19,61.9,2.4,4.91,4.47,20.38,22.38,238.64,0.42,33.47,8.74,21.62,36.79,19.51,30.28,97.5
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,348.5,2.4,11.9,4.1,7.7,43.6,130.4,90.6,54,68.9,1428,206,-99,-99,172.74,107.23,53.35,70.64,75.88,11.77,31.6,17.87,59.13,2.52,3.22,39.66,31.08,71.27,1.4,75.88,26.86,52.39,67.94,78.27,107.23,100
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,110.1,3.9,11.7,4.1,5.1,32.5,142,88,74,31.6,552,126,-99,-99,173.54,95.35,77.55,71.04,122.06,14.04,28.3,20.77,69.32,3.01,3.15,33.24,31.78,81.89,1.22,122.06,56.57,90.68,122.72,119.85,95.35,100
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,18260,32149,0.4,50.4,3,1.5,554.1,11.2,4.1, ,4.1,4.9,125.8,39.3,611,32,3338,83,0.02,-99,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21,3.8,3.54,26.29,28.27,212.03,0.47,43.71,14.94,29.92,48.31,21.42,34.28,99.9
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,1.5,1.4,9,6.5,2.8, ,31.7,105.4,70.4,110,39.6,53,53,2.18,-99,116.42,39.85,61.34,63.46,30.93,14.67,33.79,83.38,75.54,3.71,3.57,26.93,28.04,132.83,0.75,30.93,6.02,18.99,25.41,20.74,39.85,100
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,3006.3,12.6,5.4,1.7,4.8,14.9,96,53.7,388,15.1,1303,65,0.3,-99,129.63,55.64,58.91,71.68,38.6,8.87,47.58,70.46,73.19,5.43,6.28,18.41,15.92,121.45,0.82,38.6,10.56,25.16,33.46,26.45,55.64,100
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,3,5.9,12.3,144,49.3,102,16.6,3203,98,1.63,-99,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94,5.3,6.01,18.88,16.63,512.06,0.2,26.22,9.36,18.14,19.87,19.69,26.93,100
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613,201908,-6296,-99,2,85.5,2.9,1.8,1.3,6.2,3.6,1.6,-99,20,187.4,91.2,56,3.8,8642,366,-99,-99,139.27,116.77,79.34,60.49,67.98,5.6,35.05,58.52,8.86,9.7,10.65,10.3,9.39,42.07,2.38,67.98,68.84,68.39,55.36,63.92,116.77,100
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,151.7,4.1,9.1,2.8,5.7,30,125.8,92,102,12.9,4482,116,-99,-99,172.87,96.85,58.81,74.28,69.49,10,34.6,34.88,78.91,4.16,4.4,24.02,22.75,69.1,1.45,69.49,30.98,51.03,55.85,76.84,96.85,100
United States of America,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,616.5,6,17.1,2.6,5.4,19.1,117.6,74.6,1513,33.9,83887,289,-99,-99,179.73,123.17,51.24,68.22,75.42,3.26,34.58,31.19,67.95,11.23,12.24,8.9,8.17,23.53,4.25,75.42,40.3,58.59,75.57,70.02,123.17,100
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,6.6,118,119,19731,16324,3407,-20360,1.4,89,1.5,2.4,174.2,13.8,5.3, , ,22.2,93,61.9,328,53.1,7460,90,0.01,-99,0,3.35,14.72,36.9,38.3,202.07,46.24,72.9,91.17,3.51,3.18,28.48,31.42,4469.07,0.02,38.3,7.51,23.55,39.4,37.34,3.35,99.2
Vietnam,South-easternAsia,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,2520,906,1.1,33.6,3,2,11,19.3,7.1,1.2,5.7,26.7,130.6,52.7,616,47.2,2977,30,1.73,-99,36.12,24.77,47.04,47.87,40.11,26.76,33,88.1,-12.87,4.52,7.03,22.1,14.22,285.55,0.35,40.11,15.49,28.31,39.6,20.46,24.77,100
